Total A and B	2010 week:Ê1	2010 week:Ê2	2010 week:Ê3	2010 week:Ê4	2010 week:Ê5	2010 week:Ê6	2010 week:Ê7	2010 week:Ê8	2010 week:Ê9	2010 week:Ê10	2010 week:Ê11	2010 week:Ê12	2010 week:Ê13	2010 week:Ê14	2010 week:Ê15	2010 week:Ê16	2010 week:Ê17	2010 week:Ê18	2010 week:Ê19	2010 week:Ê20	2010 week:Ê21	2010 week:Ê22	2010 week:Ê23	2010 week:Ê24	2010 week:Ê25	2010 week:Ê26	2010 week:Ê27	2010 week:Ê28	2010 week:Ê29	2010 week:Ê30	2010 week:Ê31	2010 week:Ê32	2010 week:Ê33	2010 week:Ê34	2010 week:Ê35	2010 week:Ê36	2010 week:Ê37	2010 week:Ê38	2010 week:Ê39	2010 week:Ê40	2010 week:Ê41	2010 week:Ê42	2010 week:Ê43	2010 week:Ê44	2010 week:Ê45	2010 week:Ê46	2010 week:Ê47	2010 week:Ê48	2010 week:Ê49	2010 week:Ê50	2010 week:Ê51	2010 week:Ê52	2011 week:Ê1	2011 week:Ê2	2011 week:Ê3	2011 week:Ê4	2011 week:Ê5	2011 week:Ê6	2011 week:Ê7	2011 week:Ê8	2011 week:Ê9	2011 week:Ê10	2011 week:Ê11	2011 week:Ê12	2011 week:Ê13	2011 week:Ê14	2011 week:Ê15	2011 week:Ê16	2011 week:Ê17	2011 week:Ê18	2011 week:Ê19	2011 week:Ê20	2011 week:Ê21	2011 week:Ê22	2011 week:Ê23	2011 week:Ê24	2011 week:Ê25	2011 week:Ê26	2011 week:Ê27	2011 week:Ê28	2011 week:Ê29	2011 week:Ê30	2011 week:Ê31	2011 week:Ê32	2011 week:Ê33	2011 week:Ê34	2011 week:Ê35	2011 week:Ê36	2011 week:Ê37	2011 week:Ê38	2011 week:Ê39	2011 week:Ê40	2011 week:Ê41	2011 week:Ê42	2011 week:Ê43	2011 week:Ê44	2011 week:Ê45	2011 week:Ê46	2011 week:Ê47	2011 week:Ê48	2011 week:Ê49	2011 week:Ê50	2011 week:Ê51	2011 week:Ê52	2012 week:Ê1	2012 week:Ê2	2012 week:Ê3	2012 week:Ê4	2012 week:Ê5	2012 week:Ê6	2012 week:Ê7	2012 week:Ê8	2012 week:Ê9	2012 week:Ê10	2012 week:Ê11	2012 week:Ê12	2012 week:Ê13	2012 week:Ê14	2012 week:Ê15	2012 week:Ê16	2012 week:Ê17	2012 week:Ê18	2012 week:Ê19	2012 week:Ê20	2012 week:Ê21	2012 week:Ê22	2012 week:Ê23	2012 week:Ê24	2012 week:Ê25	2012 week:Ê26	2012 week:Ê27	2012 week:Ê28	2012 week:Ê29	2012 week:Ê30	2012 week:Ê31	2012 week:Ê32	2012 week:Ê33	2012 week:Ê34	2012 week:Ê35	2012 week:Ê36	2012 week:Ê37	2012 week:Ê38	2012 week:Ê39	2012 week:Ê40	2012 week:Ê41	2012 week:Ê42	2012 week:Ê43	2012 week:Ê44	2012 week:Ê45	2012 week:Ê46	2012 week:Ê47	2012 week:Ê48	2012 week:Ê49	2012 week:Ê50	2012 week:Ê51	2012 week:Ê52	2013 week:Ê1	2013 week:Ê2	2013 week:Ê3	2013 week:Ê4	2013 week:Ê5	2013 week:Ê6	2013 week:Ê7	2013 week:Ê8	2013 week:Ê9	2013 week:Ê10	2013 week:Ê11	2013 week:Ê12	2013 week:Ê13	2013 week:Ê14	2013 week:Ê15	2013 week:Ê16	2013 week:Ê17	2013 week:Ê18	2013 week:Ê19	2013 week:Ê20	2013 week:Ê21	2013 week:Ê22	2013 week:Ê23	2013 week:Ê24	2013 week:Ê25	2013 week:Ê26	2013 week:Ê27	2013 week:Ê28	2013 week:Ê29	2013 week:Ê30	2013 week:Ê31	2013 week:Ê32	2013 week:Ê33	2013 week:Ê34	2013 week:Ê35	2013 week:Ê36	2013 week:Ê37	2013 week:Ê38	2013 week:Ê39	2013 week:Ê40	2013 week:Ê41	2013 week:Ê42	2013 week:Ê43	2013 week:Ê44	2013 week:Ê45	2013 week:Ê46	2013 week:Ê47	2013 week:Ê48	2013 week:Ê49	2013 week:Ê50	2013 week:Ê51	2013 week:Ê52	2014 week:Ê1	2014 week:Ê2	2014 week:Ê3	2014 week:Ê4	2014 week:Ê5	2014 week:Ê6	2014 week:Ê7	2014 week:Ê8	2014 week:Ê9	2014 week:Ê10	2014 week:Ê11	2014 week:Ê12	2014 week:Ê13	2014 week:Ê14	2014 week:Ê15	2014 week:Ê16	2014 week:Ê17	2014 week:Ê18	2014 week:Ê19	2014 week:Ê20	2014 week:Ê21	2014 week:Ê22	2014 week:Ê23	2014 week:Ê24	2014 week:Ê25	2014 week:Ê26	2014 week:Ê27	2014 week:Ê28	2014 week:Ê29	2014 week:Ê30	2014 week:Ê31	2014 week:Ê32	2014 week:Ê33	2014 week:Ê34	2014 week:Ê35	2014 week:Ê36	2014 week:Ê37	2014 week:Ê38	2014 week:Ê39	2014 week:Ê40	2014 week:Ê41	2014 week:Ê42	2014 week:Ê43	2014 week:Ê44	2014 week:Ê45	2014 week:Ê46	2014 week:Ê47	2014 week:Ê48	2014 week:Ê49	2014 week:Ê50	2014 week:Ê51	2014 week:Ê52
Turkey	41	21	7	3	3	5	1	0	1	2	0	0	0	1																								0	0	0	0	0	1	1	2	0	1	2	2	3	11	30	28	59	150	166	218	175	137	141	70	57	60	31	24	11	4	5	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	8	22	42	48	95	114	90	68	38	30	25	33	30	34	23	43	27	29	15	15	2	6	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	2	1	8	2	4	8	7	16	19	48	83	84	152	121	117	103	75	52	35	29	17	14	2	6	3	2	2	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	3	23	23	42	79	134	111	201	101	98	55	17	16	15	15	8	6	14	6	8	16	19	6	9	10	6	0	0	0																													
Uganda	3	1	0	0	4	1	0	2	0	0	1	0	1	1	2	1	1	2	8	5	3	5	8	3	11	6	4	5	5	1	1	0	1	3	2	1	9	3	3	6	4	10	2	5	8	2	5	3	0	3	14		8	4	0	0	0	0	2	0	0	0	1	2	0	0	1	2	3	3	2	3	0	1	3	1	0	4	2	2	0	4	7	11	5	10	19	20	10	27	27	25	25	15	29	47	12	3	1	17	8	2	0	0	3	1	0	1	1	2	2	0	0	0	3	6	3	6	0	0	1	0	0	0	0	3	1	1	2	2	2	4	5	9	16	2	0	0	0	4	10	11	18	34	19	31	9	6	13	21	15	11	0	0			1	3	6	2	1	2	1	2	2	3	3	2	7	10	13	18	12	12	13	10	2	5	7	5	3	5	7	17	7	8	12	8	14	21	7	7	5	1	4	2	4	13	7	15	2	0							2	0	3	1	1	2	0	1	2	1	7	11	9	18	14	14	14	17	19	10	6																															
Ukraine	23	28	117	23	27	121	186	38	1	0	0	0	0	1	3	5	3	0	0	1	0	3	3	0	0	4	0	0	1											0	2	1	1	4	10	8	21	46	77	14	111	190	83	141	73	113	143	64	102	145	196	148	310	126	78	27	26	19	6		0	0		0	0			0		0		0	0	0	0		0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	1	0	1	4	22	56	40	56	89	73	95	54	52	2	0	12	0	0	0	0	0	0	0									0		0			0	0	0	0	0	0	0	19	0	0	0	0	1	0	1	9	22	1	29	43	58	16	40	52	66	4	43	29	25	6	0	2	1	1	9		3	2	3															0		5	0	0	0	0	1	0	0	1	0	6	6	11	7	21	19	33	69	90	82	63	89	53	35	41	18	10	7	5	5	0	0	0	0																0	0	0	0	1	0	0	0	0	2	4	3	
United Kingdom of Great Britain and Northern Ireland	27	18	27	11	17	17	6	5	3	8	9	2	0	3	1	3	0	0	1	2	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	2	3	1	7	3	8	2	19	25	17	16	91	133	237	882	1983	1962	2636	2049	992	525	353	254	199	119	78	31	47	25	23	9	13	7	9	7	2	6	3	3	1	2	2	4	6	4	3	2	5	2	4	1	2	0	2	1	0	9	3	8	10	4	5	9	11	7	11	14	33	38	78	29	72	74	104	115	177	337	300	263	271	238	373	138	157	122	68	42	37	27	34	27	35	41	11	8	9	8	6	4	8	12	3	5	2	5	5	12	7	7	6	7	10	24	32	40	38	63	96	234	480	443	513	526	353	378	522	593	559	584	476	659	454	389	371	249	295	289	122	75	41	26	22	25	5	6	2	2	10	4	2	5	6	1	10	3	3	5	1	1	0	9	5	6	8	12	26	15	12	23	18	36	40	44	88	119	139	139	197	286	354	377	452	422	410	298	246	208	174	96	82	80	56	38	8	5	12	4	3	2	5	13	2	5	2	3	2	2	5	1	2	3	0	12	14	20	18	26	22	37	22	33	53	98		
United Republic of Tanzania	0	0	3	10	17	30	18	13	8	4	10	3	0	1	9	3	0	0	0	13	0	7	0	0	0	0	0	1	0	2	0	1	0	5	4	13	14	8	5	2	2	0	6	9	0	0	6	0	0	0	0	0	0	0	5	5	8	0	6	3	9	6	10	4	1	1	5	0	0	2	2	1	8	13	5	13	2	0	9	4	0	0	3	2	1	0	0	0	3	5	2	5	11	1	11	4	1	6	0	20	20	10	16	10	1	0	0	10	7	4	0	0	1	0	1	6	10	6	0	7	11	0	2	0	1	4	7	0	3	0	1	0	1	9	0	0	1	9	0		1	1	0	0	0	0	2	0	1	7	5	2	6	11	15	15	4	15	20	13	28	15	33	6	2	2	4	11	3	14	10	3	0	16	15	1	10	3	7	0	2	0	0	2	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	11	0	0	0	0	1	6	1	9	1	0	1	8	0	9	2	3	0	4	7	2	0	0	8	4	9	0	1	0	5	14	1	1	7	0	12	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	4	16	7	26				
United States of America	366	396	447	402	404	361	380	424	445	475	351	246	237	127	79	52	37	31	26	19	8	8	8	11	11	7	4	10	12	24	19	32	21	45	34	46	64	67	62	77	128	141	168	247	352	491	588	609	843	1438	1998	2375	2645	3027	3724	4439	4919	5086	5743	4599	3566	2667	1950	1356	883	629	393	193	125	62	38	19	16	12	5	9	2	4	5	6	8	3	10	11	16	17	14	13	19	20	26	33	19	28	43	38	49	43	75	73	106	129	192	175	177	229	312	466	658	797	1050	1386	1928	2282	2646	2171	1561	1446	1254	1157	851	720	614	510	422	371	304	303	172	168	91	99	76	101	200	173	164	109	87	87	78	96	89	163	197	300	339	409	619	851	1368	2038	3432	4584	5929	6445	6474	6897	5936	5130	4039	3059	2385	2069	1776	1645	1452	1219	953	893	631	454	379	293	249	174	161	148	129	126	95	65	67	79	56	60	75	63	58	58	120	113	122	117	137	185	221	175	197	274	394	520	703	863	1722	1968	3685	4478	4982	4636	4243	3613	2708	2289	1812	1373	1026	974	930	919	933	939	954	796	717	697	561	496	385	396	270	290	221	170	153	144	94	115	94	79	112	106	133	111	129	171	200	303	423	571	530	707	1106	1313	2225	3322	4715	6816	6152	
Uruguay																											0	0	0	0	0	2	2	3	2	2	13	13	14	11	20	14	17	11	15	8	5	4	2	1	1	2	1	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	11	22	27	33	48	76	51	49	5	11	8	3																0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	1	6	9	9	11	6	4	2	2	2	2	0	0	0	0														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	10	8	15	20	15	6	7	4	3	2	3	3	2	3	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	1	4	2	1	8	5	9	7	5	1	0	1	1	0	0	0	0	0	0	0	0	0				
Uzbekistan																																																																																																																																															0	0	0	0	0	0	0	0	0	0	1	4	0	3	1	9	11	15	13	11	13	9	5	3	4	1	1	0	1	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	1		9					7	1			0	2	0	1			0	0		0			0																			0	0	0	0	0	1	0	0	0	2	4		
Venezuela																																																					6	7	10	8	10	16	23	19	13	37	334	633	468	438	188	66	56	38	32	35	25	23	23	27	22	23	17	8	18	9	14	19	2	6	5	3	8	6	12	12	9	18	60	67	54	51	97	48	57	31	13	2																																																																																																									7	0	8	6	3	2	2	2	0	0	5	2	0	0	1	3	2	0	0	1	0	2	2	0	2	3	4	2	2	6	3	11	11	11	1	1	1	3	4	0	2	1	1	1	0							
Viet Nam	13	9	11	10	11	2		11	9	9	15	18	3	3	5	2	1	2	4	4	4	6	4	16	20	15	21	22	27	37	40	58	56	56	36	36	33	26	30	22	16	21	21	18	20	28	38	20	25	12	16	16	14	26	27	28	0	5	22	41	25	32	27	20	18	12	9	5	15	6	3	13	12	9	11	10	5	12	14	16	27	21	20	29	30	23	33	22	21	26	37	32	25	22	29	16	22	8	11	12	4	6	7	4	4	5	4	0	9	20	22	21	19	23	20	13	12	11	12	20	18	10	17	18	15	23	33	28	27	37	20	21	13	16	7	2	12	9	0	3	12	10	10	10	22	6	16	11	23	19	15	24	24	20	12	11	7	7	5	5	5	6	0	5	9	8	13	13	9	13	16	25	24	23	29	33	35	39	41	46	43	44	42	27	19	17	21	14	19	11	10	1	13	11	15	20	14	19	16	12	9	22	18	20	21	16	15	10	17	16	16	7	1	1	8	12	25	20	21	14	16	29	16	8	13	17	22	23	25	27	30	23	22	12	7	7	3	6	4	2	8	4	5	2	5	15	16	19	12	10	14	14	19	2	10	11	13	10	11	4
Zambia									1	0	6	14	2	8	2	0	8	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					5	0	0	0	0	0	0	0	0	3	0	0	8	2	1	0	1	7	1	2	1	0	0	2	3	1	2	7	1	3	2	2	5	2	2	2	1	3	2	2	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	2	2	2	3	4	1	3	0	2	5	3	0	1	0	1	1	1	0	0	2	0	0	0	2	12	1	10	12	1	2	0	1	3	6	9	3	4	7	1	4	1	5	3	9	3	1	1	2	2	0	0	6	10	13	8	1	11	2	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	4	6	10	6	3	2	2	5	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	4	0	0	0	0	0	1	0	0	1	1	2	1	2	3	0	0	1	1	4	2	6	8	13	6	0	6	1	4	5	2	1	0	0		
